,train_time,merge_time,size_param,precision,trial,space,n,q,quantile_estimate,bound_size,sketch,dataset,query_time
35,2692891907,3657268,3.0,64,1,72,100013,0.7,14.612654999999998,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,8016385
36,2692891907,3657268,3.0,64,1,72,100013,0.75,22.619888,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,8016385
37,2692891907,3657268,3.0,64,1,72,100013,0.8,35.557358,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,8016385
38,2692891907,3657268,3.0,64,1,72,100013,0.85,57.571020999999995,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,8016385
39,2692891907,3657268,3.0,64,1,72,100013,0.9,98.773999,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,8016385
40,2692891907,3657268,3.0,64,1,72,100013,0.95,194.532509,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,8016385
41,2692891907,3657268,3.0,64,1,72,100013,0.99,511.155888,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,8016385
42,2159647241,11189135,3.0,64,2,72,100013,0.01,0.000144,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
43,2159647241,11189135,3.0,64,2,72,100013,0.05,0.0028899999999999998,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
44,2159647241,11189135,3.0,64,2,72,100013,0.1,0.014227000000000002,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
45,2159647241,11189135,3.0,64,2,72,100013,0.15,0.040943,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
46,2159647241,11189135,3.0,64,2,72,100013,0.2,0.093409,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
47,2159647241,11189135,3.0,64,2,72,100013,0.25,0.18698299999999998,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
48,2159647241,11189135,3.0,64,2,72,100013,0.3,0.344298,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
49,2159647241,11189135,3.0,64,2,72,100013,0.35,0.598643,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
50,2159647241,11189135,3.0,64,2,72,100013,0.4,0.9990700000000001,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
51,2159647241,11189135,3.0,64,2,72,100013,0.45,1.6181969999999999,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
52,2159647241,11189135,3.0,64,2,72,100013,0.5,2.564409,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
53,2159647241,11189135,3.0,64,2,72,100013,0.55,4.001621,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
54,2159647241,11189135,3.0,64,2,72,100013,0.6,6.181961,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
55,2159647241,11189135,3.0,64,2,72,100013,0.65,9.502913000000001,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
56,2159647241,11189135,3.0,64,2,72,100013,0.7,14.612654999999998,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
57,2159647241,11189135,3.0,64,2,72,100013,0.75,22.619888,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
58,2159647241,11189135,3.0,64,2,72,100013,0.8,35.557358,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
59,2159647241,11189135,3.0,64,2,72,100013,0.85,57.571020999999995,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
60,2159647241,11189135,3.0,64,2,72,100013,0.9,98.773999,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
61,2159647241,11189135,3.0,64,2,72,100013,0.95,194.532509,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
62,2159647241,11189135,3.0,64,2,72,100013,0.99,511.155888,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,10538242
63,2224656831,3352229,3.0,64,3,72,100013,0.01,0.000144,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
64,2224656831,3352229,3.0,64,3,72,100013,0.05,0.0028899999999999998,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
65,2224656831,3352229,3.0,64,3,72,100013,0.1,0.014227000000000002,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
66,2224656831,3352229,3.0,64,3,72,100013,0.15,0.040943,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
67,2224656831,3352229,3.0,64,3,72,100013,0.2,0.093409,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
68,2224656831,3352229,3.0,64,3,72,100013,0.25,0.18698299999999998,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
69,2224656831,3352229,3.0,64,3,72,100013,0.3,0.344298,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
70,2224656831,3352229,3.0,64,3,72,100013,0.35,0.598643,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
71,2224656831,3352229,3.0,64,3,72,100013,0.4,0.9990700000000001,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
72,2224656831,3352229,3.0,64,3,72,100013,0.45,1.6181969999999999,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
73,2224656831,3352229,3.0,64,3,72,100013,0.5,2.564409,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
74,2224656831,3352229,3.0,64,3,72,100013,0.55,4.001621,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
75,2224656831,3352229,3.0,64,3,72,100013,0.6,6.181961,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
76,2224656831,3352229,3.0,64,3,72,100013,0.65,9.502913000000001,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
77,2224656831,3352229,3.0,64,3,72,100013,0.7,14.612654999999998,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
78,2224656831,3352229,3.0,64,3,72,100013,0.75,22.619888,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
79,2224656831,3352229,3.0,64,3,72,100013,0.8,35.557358,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
80,2224656831,3352229,3.0,64,3,72,100013,0.85,57.571020999999995,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
81,2224656831,3352229,3.0,64,3,72,100013,0.9,98.773999,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
82,2224656831,3352229,3.0,64,3,72,100013,0.95,194.532509,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
83,2224656831,3352229,3.0,64,3,72,100013,0.99,511.155888,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,5078448
84,2130006971,3923383,3.0,64,4,72,100013,0.01,0.000144,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,3693026
85,2130006971,3923383,3.0,64,4,72,100013,0.05,0.0028899999999999998,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,3693026
86,2130006971,3923383,3.0,64,4,72,100013,0.1,0.014227000000000002,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,3693026
87,2130006971,3923383,3.0,64,4,72,100013,0.15,0.040943,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,3693026
88,2130006971,3923383,3.0,64,4,72,100013,0.2,0.093409,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,3693026
89,2130006971,3923383,3.0,64,4,72,100013,0.25,0.18698299999999998,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,3693026
90,2130006971,3923383,3.0,64,4,72,100013,0.3,0.344298,0.0,cmoments,/lfs/1/egan1/datasets/internet-mi-2013-11.csv,3693026
